variable,M9a (pure tier),M9b (full + tier),M9c (tier × eligible)
const,11.9083 (0.5029)***,11.7923 (0.4807)***,11.7973 (0.4805)***
allstar,0.1917 (0.0300)***,0.0545 (0.0349),0.0513 (0.0342)
undrafted,-0.0038 (0.0553),-0.0130 (0.0517),-0.0129 (0.0517)
log_draft_pick,-0.1459 (0.0152)***,-0.1209 (0.0149)***,-0.1204 (0.0149)***
pos_PG,-0.0331 (0.0357),-0.1314 (0.0512)**,-0.1322 (0.0512)***
pos_SG,0.0014 (0.0332),-0.0803 (0.0480)*,-0.0824 (0.0481)*
pos_SF,-0.0110 (0.0328),-0.0740 (0.0439)*,-0.0764 (0.0441)*
pos_PF,-0.0273 (0.0327),-0.0633 (0.0360)*,-0.0648 (0.0361)*
born_canada,0.0323 (0.0667),0.0432 (0.0623),0.0419 (0.0624)
born_europe,0.0380 (0.0329),0.0398 (0.0325),0.0396 (0.0323)
born_latam,0.0258 (0.0739),0.0419 (0.0740),0.0428 (0.0740)
born_africa,-0.1059 (0.0551)*,-0.0595 (0.0556),-0.0566 (0.0559)
born_asia_oceania,0.0988 (0.0843),0.1107 (0.0741),0.1121 (0.0736)
age,0.2634 (0.0349)***,0.2354 (0.0327)***,0.2343 (0.0327)***
age_sq,-0.0047 (0.0006)***,-0.0040 (0.0006)***,-0.0040 (0.0006)***
experience,0.0643 (0.0101)***,0.0591 (0.0096)***,0.0593 (0.0096)***
all_nba_lag1,0.1125 (0.0386)***,0.0951 (0.0378)**,0.0530 (0.0480)
career_all_nba_count,-0.0344 (0.0103)***,-0.0363 (0.0098)***,-0.0367 (0.0094)***
career_allstar_count,0.0708 (0.0150)***,0.0334 (0.0158)**,0.0303 (0.0163)*
games_missed_lag1,-0.0071 (0.0007)***,-0.0045 (0.0006)***,-0.0045 (0.0006)***
team_win_pct_lag1,-0.0386 (0.1110),-0.0030 (0.1087),-0.0001 (0.1087)
team_made_playoffs_lag1,-0.0239 (0.0289),-0.0335 (0.0285),-0.0346 (0.0285)
team_over_luxury_tax_t,-0.0499 (0.0292)*,-0.0257 (0.0280),-0.0276 (0.0282)
no_income_tax,0.0234 (0.0287),0.0060 (0.0292),0.0053 (0.0291)
tier_minimum,-0.9691 (0.0320)***,-0.9055 (0.0308)***,-0.9055 (0.0307)***
tier_rookie_scale,-0.0317 (0.0457),-0.0878 (0.0449)*,-0.0870 (0.0450)*
tier_high_mid,0.9797 (0.0394)***,0.8496 (0.0367)***,0.8471 (0.0367)***
tier_max_25,1.2830 (0.0400)***,1.1359 (0.0396)***,1.1352 (0.0396)***
tier_max_30,1.3095 (0.0558)***,1.1598 (0.0502)***,1.2163 (0.0590)***
tier_max_35,1.3878 (0.0677)***,1.2643 (0.0613)***,1.2820 (0.0640)***
tier_supermax,1.2947 (0.0870)***,1.2062 (0.0840)***,1.1611 (0.0849)***
tier_overpay,1.5583 (0.0771)***,1.3316 (0.0631)***,1.3445 (0.0647)***
ppg,,0.0048 (0.0100),0.0038 (0.0101)
rpg,,0.0045 (0.0092),0.0039 (0.0092)
apg,,0.0229 (0.0113)**,0.0219 (0.0113)*
spg,,0.0090 (0.0431),0.0054 (0.0430)
bpg,,0.0361 (0.0392),0.0322 (0.0394)
mpg,,0.0146 (0.0066)**,0.0154 (0.0066)**
gp,,-0.0009 (0.0009),-0.0009 (0.0009)
per,,-0.0075 (0.0069),-0.0070 (0.0069)
ws,,0.0103 (0.0149),0.0086 (0.0148)
vorp,,-0.0036 (0.0258),0.0002 (0.0256)
usg_pct,,0.0025 (0.0056),0.0027 (0.0056)
top5_market,,-0.0065 (0.0269),-0.0063 (0.0270)
supermax_eligible_loose,,,0.1023 (0.0629)
tier_max_30_x_supereligible,,,-0.1484 (0.0632)**
N,2268,2268,2268
R^2,0.8489,0.8623,0.8625
