step,block,n_regs,R2,dR2,share_of_total
0,(intercept only),0,0.0,0.0,0.0
1,Performance,11,0.44588016327504254,0.44588016327504254,0.6872293690040062
2,Age,14,0.615291080403219,0.16941091712817646,0.26111087074436656
3,Demographics,21,0.6285332285386639,0.013242148135444887,0.020409952845930404
4,International,26,0.6325676856234423,0.004034457084778453,0.0062182568883104895
5,Awards,29,0.6383782181369153,0.005810532513472966,0.008955699135572646
6,Structural,32,0.6419410583888716,0.0035628402519563007,0.005491359921081857
7,Market,33,0.6429958516450515,0.0010547932561798534,0.0016257392985366212
8,Team,36,0.6453014435967863,0.0023055919517348533,0.0035535792633907175
9,Durability,38,0.6488083649877356,0.0035069213909493246,0.005405172898804434
