,ppg,rpg,apg,per,ws,vorp,usg_pct,age,experience,salary_cap_share_t,all_nba_lag1,career_all_nba_count,career_allstar_count,supermax_eligible_loose,games_missed_lag1,market_size_rank_nba,top5_market,win_pct,made_playoffs,is_international
ppg,1.0,0.56,0.69,0.7,0.71,0.74,0.81,0.03,0.2,0.68,0.43,0.36,0.48,0.42,-0.26,0.0,-0.01,0.02,0.02,-0.01
rpg,0.56,1.0,0.27,0.67,0.67,0.59,0.33,0.03,0.18,0.48,0.31,0.27,0.31,0.3,-0.22,-0.0,0.0,0.01,0.01,0.14
apg,0.69,0.27,1.0,0.46,0.5,0.62,0.56,0.11,0.22,0.55,0.38,0.36,0.45,0.37,-0.19,0.01,0.0,0.02,0.01,-0.04
per,0.7,0.67,0.46,1.0,0.77,0.79,0.63,0.06,0.2,0.52,0.41,0.35,0.4,0.39,-0.13,0.01,-0.01,0.14,0.11,0.09
ws,0.71,0.67,0.5,0.77,1.0,0.91,0.4,0.13,0.24,0.57,0.43,0.33,0.38,0.38,-0.29,0.02,-0.02,0.33,0.27,0.05
vorp,0.74,0.59,0.62,0.79,0.91,1.0,0.53,0.14,0.24,0.6,0.52,0.42,0.49,0.47,-0.21,0.02,-0.01,0.29,0.23,0.03
usg_pct,0.81,0.33,0.56,0.63,0.4,0.53,1.0,-0.05,0.1,0.5,0.37,0.32,0.4,0.35,-0.11,0.01,-0.01,-0.02,-0.01,0.01
age,0.03,0.03,0.11,0.06,0.13,0.14,-0.05,1.0,0.86,0.36,0.1,0.33,0.24,0.11,-0.08,-0.07,0.08,0.21,0.16,0.01
experience,0.2,0.18,0.22,0.2,0.24,0.24,0.1,0.86,1.0,0.5,0.16,0.41,0.33,0.17,-0.11,-0.04,0.07,0.21,0.17,0.02
salary_cap_share_t,0.68,0.48,0.55,0.52,0.57,0.6,0.5,0.36,0.5,1.0,0.44,0.49,0.59,0.45,-0.2,-0.02,0.03,0.15,0.12,0.03
all_nba_lag1,0.43,0.31,0.38,0.41,0.43,0.52,0.37,0.1,0.16,0.44,1.0,0.52,0.52,0.78,-0.12,-0.01,0.05,0.15,0.12,0.02
career_all_nba_count,0.36,0.27,0.36,0.35,0.33,0.42,0.32,0.33,0.41,0.49,0.52,1.0,0.65,0.52,-0.05,-0.09,0.12,0.11,0.1,-0.02
career_allstar_count,0.48,0.31,0.45,0.4,0.38,0.49,0.4,0.24,0.33,0.59,0.52,0.65,1.0,0.63,-0.04,-0.09,0.13,0.14,0.12,-0.02
supermax_eligible_loose,0.42,0.3,0.37,0.39,0.38,0.47,0.35,0.11,0.17,0.45,0.78,0.52,0.63,1.0,-0.1,-0.02,0.04,0.13,0.11,0.02
games_missed_lag1,-0.26,-0.22,-0.19,-0.13,-0.29,-0.21,-0.11,-0.08,-0.11,-0.2,-0.12,-0.05,-0.04,-0.1,1.0,-0.01,0.01,-0.11,-0.07,-0.02
market_size_rank_nba,0.0,-0.0,0.01,0.01,0.02,0.02,0.01,-0.07,-0.04,-0.02,-0.01,-0.09,-0.09,-0.02,-0.01,1.0,-0.58,0.05,0.01,0.01
top5_market,-0.01,0.0,0.0,-0.01,-0.02,-0.01,-0.01,0.08,0.07,0.03,0.05,0.12,0.13,0.04,0.01,-0.58,1.0,-0.0,-0.04,-0.07
win_pct,0.02,0.01,0.02,0.14,0.33,0.29,-0.02,0.21,0.21,0.15,0.15,0.11,0.14,0.13,-0.11,0.05,-0.0,1.0,0.8,0.02
made_playoffs,0.02,0.01,0.01,0.11,0.27,0.23,-0.01,0.16,0.17,0.12,0.12,0.1,0.12,0.11,-0.07,0.01,-0.04,0.8,1.0,-0.01
is_international,-0.01,0.14,-0.04,0.09,0.05,0.03,0.01,0.01,0.02,0.03,0.02,-0.02,-0.02,0.02,-0.02,0.01,-0.07,0.02,-0.01,1.0
