group,dln_n,dln_mean,dln_median,dln_sd,dln_share_pos,dln_share_near0,dln_share_neg,dln_p25,dln_p75,dlncap_n,dlncap_mean,dlncap_median,dlncap_sd,dlncap_share_pos,dlncap_share_near0,dlncap_share_neg,dlncap_p25,dlncap_p75
All (cy_exogenous obs),2054,0.2357255449880726,0.07232065632211437,0.5946421274495766,0.8193768257059396,0.30136319376825704,0.13339824732229796,0.04399941863286827,0.3569747587842831,2054,0.150689826805497,0.021519414094335665,0.5944832002418449,0.5881207400194742,0.3422590068159688,0.40457643622200584,-0.04827560932546193,0.2605606442757077
cy_exogenous=0,1339,0.25319724674935185,0.06669139399859958,0.5442561066107547,0.8461538461538461,0.3883495145631068,0.09335324869305452,0.04401688541677373,0.16297331290937045,1339,0.16879509411543295,0.016725162102815716,0.5487321818248588,0.5586258401792382,0.438386855862584,0.4316654219566841,-0.04702570653669769,0.13055016204934677
cy_exogenous=1 (any),715,0.20300581259876793,0.2319049777677762,0.6782224561921444,0.7692307692307693,0.13846153846153847,0.2083916083916084,0.033133711135912236,0.4979135166790378,715,0.11678359893416247,0.11394990332390087,0.67093438674823,0.6433566433566433,0.16223776223776223,0.35384615384615387,-0.0629939101556094,0.4288257299839975
"cy_exogenous=1, C only",172,0.37048102987548626,0.32063312376201747,0.26074076343558455,0.9476744186046512,0.06976744186046512,0.029069767441860465,0.23428129474180537,0.5246210893651129,172,0.2869894939369378,0.23783440584324977,0.28174032644009106,0.877906976744186,0.046511627906976744,0.12209302325581395,0.13943347035684983,0.4298248443104651
"cy_exogenous=1, B only",472,0.10713188131563693,0.07145892849932345,0.7873182816170682,0.6800847457627118,0.18220338983050846,0.2944915254237288,-0.07491714448949871,0.41233884938264476,472,0.01857863372158017,0.00868808852578229,0.7743232786754624,0.5254237288135594,0.2245762711864407,0.4703389830508475,-0.22325864170750376,0.33891684092060803
"cy_exogenous=1, B and C",33,0.40945706122364744,0.4001132103567695,0.5720661725373842,0.8484848484848485,0.030303030303030304,0.15151515151515152,0.2326977274943527,0.5246211416919078,33,0.31645078739938753,0.3206330815759548,0.5651069844209683,0.7272727272727273,0.06060606060606061,0.2727272727272727,-0.012942074321273811,0.4681401553123674
"cy_A_up=1, cy_exogenous=0",262,1.1466446066726232,1.0454223778012288,0.6221037276323895,1.0,0.0,0.0,0.5733837464897644,1.6250352200455023,262,1.0653239050388545,0.9267832472545507,0.6152639182122217,1.0,0.0,0.0,0.5037246484230302,1.5225602044857274
"contract_year=1, cy_exogenous=0",262,1.1466446066726232,1.0454223778012288,0.6221037276323895,1.0,0.0,0.0,0.5733837464897644,1.6250352200455023,262,1.0653239050388545,0.9267832472545507,0.6152639182122217,1.0,0.0,0.0,0.5037246484230302,1.5225602044857274
"contract_year=1, cy_exogenous=1",715,0.20300581259876793,0.2319049777677762,0.6782224561921444,0.7692307692307693,0.13846153846153847,0.2083916083916084,0.033133711135912236,0.4979135166790378,715,0.11678359893416247,0.11394990332390087,0.67093438674823,0.6433566433566433,0.16223776223776223,0.35384615384615387,-0.0629939101556094,0.4288257299839975
contract_year=0,1077,0.03584979243189864,0.04879016416943216,0.18114275324962423,0.8087279480037141,0.4828226555246054,0.11606313834726091,0.04216081082427792,0.07696103882468464,1077,-0.04930197966538091,-0.009582708276671514,0.19819028263833657,0.45125348189415043,0.5450324976787372,0.5366759517177344,-0.05177139474460857,0.04653563367998359
