event_offset,beta,se,p,ci_lo,ci_hi,ref,cy_var,n_descriptive,dln_mean,dln_median,dln_sd
-3,-0.05581357925175944,0.1736778441959127,0.7480053603141861,-0.39622215387574833,0.28459499537222943,False,cy_exogenous,,,,
-2,0.2654979123852343,0.05053784180477375,1.8382606059574869e-07,0.16644374244787774,0.36455208232259084,False,cy_exogenous,,,,
-1,0.0,0.0,,0.0,0.0,True,cy_exogenous,,,,
0,-0.1960007227821995,0.03862622758364051,4.6671615194782134e-07,-0.2717081288461349,-0.12029331671826408,False,cy_exogenous,,,,
1,-0.1832728251030974,0.057692727907279466,0.0015370321500256523,-0.29635057180136515,-0.07019507840482964,False,cy_exogenous,,,,
2,-0.009398371179042166,0.0632700802726888,0.8819448395963425,-0.1334077285135122,0.11461098615542786,False,cy_exogenous,,,,
3,,,,,,False,cy_exogenous,,,,
-3,,,,,,,cy_exogenous,31.0,0.484309651506976,0.12340532490742717,0.7156344829449074
-2,,,,,,,cy_exogenous,158.0,0.14411986708662158,0.048819232021465986,0.2788511022265189
-1,,,,,,,cy_exogenous,249.0,0.14624593428011232,0.04653787070528814,0.35449636660284906
0,,,,,,,cy_exogenous,471.0,0.2885452650415548,0.24059052967871075,0.6089313225521503
1,,,,,,,cy_exogenous,246.0,0.3758514490806525,0.1607033774199742,0.8210744278798099
2,,,,,,,cy_exogenous,180.0,0.1896759237881542,0.07696104113612634,0.5870554484657118
3,,,,,,,cy_exogenous,120.0,0.10942615293188959,0.06957407379936065,0.614059909240907
-3,0.5219809680337596,0.1041665009540124,6.374092416105981e-07,0.3178146261638953,0.726147309903624,False,cy_walk_back,,,,
-2,0.30660117097719847,0.06239175767191159,1.0376531145439571e-06,0.18431332594025174,0.4288890160141452,False,cy_walk_back,,,,
-1,0.0,0.0,,0.0,0.0,True,cy_walk_back,,,,
0,-0.08305995738406041,0.0357382717836596,0.020313903180173343,-0.1531069700800332,-0.0130129446880876,False,cy_walk_back,,,,
1,0.2583662278600714,0.055572879557460465,3.7680414273211227e-06,0.14944338392744888,0.36728907179269393,False,cy_walk_back,,,,
2,0.10476577389864601,0.05089579679588362,0.039800563488250784,0.005010012178714107,0.20452153561857792,False,cy_walk_back,,,,
3,,,,,,False,cy_walk_back,,,,
-3,,,,,,,cy_walk_back,88.0,0.19720329629390224,0.06744129025338275,0.40208023918896496
-2,,,,,,,cy_walk_back,146.0,0.19439014257398204,0.06744128817531525,0.30882323698681874
-1,,,,,,,cy_walk_back,225.0,0.24844509701244094,0.15567192319353929,0.3644419037756182
0,,,,,,,cy_walk_back,386.0,0.5156453771881986,0.3162914842811002,0.9208450526903234
1,,,,,,,cy_walk_back,274.0,0.05593531119910983,0.04879016416943216,0.5821667121631164
2,,,,,,,cy_walk_back,188.0,0.09347384030708289,0.06322055525121151,0.5244000225949196
3,,,,,,,cy_walk_back,127.0,0.02568863696719483,0.06317888751961576,0.5818090863651697
