group,cy_var,subset,n,n_cy_1,beta_cy,se_cy,p_cy,MDE_cy,note,MDE_pct_salary,sufficient_for_stiroh_5pct,sufficient_for_stiroh_10pct,sufficient_for_stiroh_20pct,significant_5pct,sign
age,cy_exogenous,age<25,960,345,0.027806770537089,0.0354884396393638,0.4335065206013464,0.0993676309902187,,0.0993676309902187,False,True,True,False,1
age,cy_exogenous,age 25-28,606,175,0.0041476236104825,0.0631282767232494,0.947638181638917,0.1767591748250984,,0.1767591748250984,False,False,True,False,1
age,cy_exogenous,age>=29,488,195,-0.1687605192834077,0.0523602380683293,0.0013583840187019,0.1466086665913221,,0.1466086665913221,False,False,True,True,-1
salary_tier,cy_exogenous,mid ($2-10M),897,345,-0.0511848260596482,0.0350434465165322,0.1444838060483069,0.0981216502462903,,0.0981216502462903,False,True,True,False,-1
salary_tier,cy_exogenous,high ($10-25M),464,116,-0.2405074195575884,0.0646985806604943,0.0002275524388748,0.1811560258493841,,0.1811560258493841,False,False,True,True,-1
experience,cy_exogenous,exp 1-2,634,160,0.0131980614771491,0.0559231158382608,0.8135095501198597,0.1565847243471302,,0.1565847243471302,False,False,True,False,1
experience,cy_exogenous,exp 3-6,741,315,-0.1884597563671966,0.0646344422679055,0.0036593551389469,0.1809764383501354,,0.1809764383501354,False,False,True,True,-1
experience,cy_exogenous,exp 7+,679,240,-0.1553187918572523,0.0459610179838707,0.0007699207690343,0.128690850354838,,0.128690850354838,False,False,True,True,-1
allstar_status,cy_exogenous,allstar=1,175,36,-0.0434335386446286,0.0721491767027732,0.5480977139789944,0.202017694767765,,0.202017694767765,False,False,False,False,-1
age,contract_year,age<25,981,502,0.5386027716498849,0.0301380026408776,0.0,0.0843864073944573,,0.0843864073944573,False,True,True,True,1
age,contract_year,age 25-28,641,301,0.5481811740313915,0.0472491139039761,0.0,0.1322975189311331,,0.1322975189311331,False,False,True,True,1
age,contract_year,age>=29,502,244,0.0805507458297704,0.0499931684328151,0.1077941464235159,0.1399808716118824,,0.1399808716118824,False,False,True,False,1
salary_tier,contract_year,mid ($2-10M),931,484,0.3746181513311045,0.0326186563845932,0.0,0.091332237876861,,0.091332237876861,False,True,True,True,1
salary_tier,contract_year,high ($10-25M),465,142,-0.0390388799606538,0.0591262205319082,0.5094326703331797,0.1655534174893431,,0.1655534174893431,False,False,True,False,-1
experience,contract_year,exp 1-2,652,258,0.5043073170578575,0.047171683659111,0.0,0.132080714245511,,0.132080714245511,False,False,True,True,1
experience,contract_year,exp 3-6,778,477,0.7063599111198233,0.0512269120593354,0.0,0.1434353537661393,,0.1434353537661393,False,False,True,True,1
experience,contract_year,exp 7+,694,312,0.1044417602118014,0.0421547443293294,0.0134746115015551,0.1180332841221225,,0.1180332841221225,False,False,True,True,1
allstar_status,contract_year,allstar=1,176,64,0.4904520455783039,0.0689233281498233,4.354872018552669e-11,0.1929853188195054,,0.1929853188195054,False,False,True,True,1
age,cy_walk_back,age<25,1056,195,0.3741109094592081,0.0615299683314795,1.6904930788541604e-09,0.1722839113281427,,0.1722839113281427,False,False,True,True,1
age,cy_walk_back,age 25-28,735,197,0.2801260441222422,0.065528385585235,2.17486560394331e-05,0.1834794796386582,,0.1834794796386582,False,False,True,True,1
age,cy_walk_back,age>=29,601,204,-0.1047571092977135,0.0515874767495017,0.0427497813498702,0.1444449348986048,,0.1444449348986048,False,False,True,True,-1
salary_tier,cy_walk_back,mid ($2-10M),1059,281,0.2100790643949232,0.0488518927465245,1.8673283993075884e-05,0.1367852996902687,,0.1367852996902687,False,False,True,True,1
salary_tier,cy_walk_back,high ($10-25M),554,130,-0.0652126958272926,0.0651116920290469,0.3170208954223554,0.1823127376813315,,0.1823127376813315,False,False,True,False,-1
experience,cy_walk_back,exp 1-2,714,105,0.1302432024711131,0.0772448771190834,0.0922297142405952,0.2162856559334336,,0.2162856559334336,False,False,False,False,1
experience,cy_walk_back,exp 3-6,869,231,0.4237815450571367,0.0627582252045575,2.7068125518781017e-11,0.1757230305727611,,0.1757230305727611,False,False,True,True,1
experience,cy_walk_back,exp 7+,809,260,-0.0420223581325404,0.0463109328963215,0.3644772755851952,0.1296706121097003,,0.1296706121097003,False,False,True,False,-1
allstar_status,cy_walk_back,allstar=1,182,50,0.5200607667230955,0.0916279093290192,6.609511649102728e-08,0.2565581461212539,,0.2565581461212539,False,False,False,True,1
