,N,Mean,SD,Min,Median,Max
salary_usd,3660.0,8183019.371038252,9110945.783798909,127250.0,4247860.0,51915615.0
ln_salary,3660.0,15.334773440691793,1.1236696230838903,11.753908934412769,15.261925757776618,17.765130169936725
age,3660.0,26.19289617486339,4.3032054667452355,19.0,26.0,43.0
experience,3660.0,5.30983606557377,4.601075420639332,0.0,4.0,22.0
ppg,3660.0,10.010273224043717,6.254232428127254,0.8,8.4,36.1
rpg,3660.0,4.054453551912568,2.398738930730838,0.4,3.5,16.0
apg,3660.0,2.2175409836065576,1.8666221316190164,0.0,1.6,11.7
spg,3660.0,0.7009016393442623,0.38694429587321444,0.0,0.6,2.4
bpg,3660.0,0.4516393442622951,0.4166001213294009,0.0,0.3,3.7
mpg,3660.0,22.152076502732243,8.22722857526607,5.0,22.0,38.1
gp,3660.0,57.88469945355191,16.91185242478364,20.0,61.0,84.0
fg_pct,3660.0,0.4619106557377049,0.0730791365811798,0.152,0.45,0.819
fg3_pct,3660.0,0.3129144808743169,0.12126863815413184,0.0,0.343,1.0
ft_pct,3660.0,0.7543598360655738,0.11116182272903322,0.0,0.77,1.0
per,3660.0,14.02292349726776,4.647847765847123,-1.5,13.4,34.1
ws,3660.0,2.9010382513661206,2.6754415417260464,-2.1,2.2,17.9
bpm,3660.0,-0.7013934426229509,2.8796419039164647,-16.1,-0.9,13.7
vorp,3660.0,0.7157103825136611,1.352273464814655,-2.0,0.3,10.6
usg_pct,3660.0,18.796010928961746,5.3605046447458005,5.2,17.9,41.7
allstar,3660.0,0.058469945355191254,0.23466200431804626,0.0,0.0,1.0
undrafted,3660.0,0.16721311475409836,0.37321702351852354,0.0,0.0,1.0
post_cba_2017,3660.0,0.7827868852459017,0.41240519752381244,0.0,1.0,1.0
post_covid,3660.0,0.4633879781420765,0.49872589484984553,0.0,0.0,1.0
state_tax_rate,3045.0,0.0638345155993432,0.046602663724642376,0.0,0.0525,0.1478
no_income_tax,3152.0,0.20114213197969544,0.40091765902641835,0.0,0.0,1.0
contract_year,2445.0,0.5852760736196319,0.4927751080767574,0.0,1.0,1.0
