model,var,β,SE_player,SE_two_way,p_player,p_two_way,SE_ratio (two_way/player)
M1a,post_cba_2017,0.2187906585084995,0.034593883714198,0.07196424236195016,2.84812617934449e-10,0.0023805026116279215,2.0802591277837545
M1a,post_covid,0.19100670759096525,0.03106663859080521,0.06329081020044135,8.679059693150748e-10,0.002562789472757343,2.037259680201563
M1a,age,0.4124564728882681,0.03768417391971457,0.03730074550540494,0.0,0.0,0.9898252137587913
M1a,experience,0.05698227561723891,0.012373408065889966,0.014595609154099128,4.261313196085581e-06,9.630369768220959e-05,1.1795949084016029
M1a,undrafted,-0.2032423899020688,0.05677252673131774,0.05345178372885243,0.000348159889394406,0.000145681158557176,0.9415079230455764
M1a,ppg,0.031241882983210904,0.005545837985698144,0.005802169544909499,1.9010208518466243e-08,7.723846495721887e-08,1.0462205278755696
M2c,state_tax_rate,0.1508823254520323,0.1418775015191435,0.10077042582975584,0.2876515355466076,0.13441945433305924,0.7102636059330303
M2c,vorp,0.015479147022523187,0.037990530884848994,0.044445967644979836,0.6837072686766397,0.727661742535747,1.1699222571987098
M3c_canonical,cy_exogenous,-0.005133238210632884,0.02608830537102684,0.03060663959736453,0.8440319929007538,0.8668230605684928,1.17319385686721
R1,contract_year,-0.5335244667223604,0.02456492300971937,0.031046544460783747,0.0,0.0,1.2638567785659192
R1,no_income_tax,-0.019355986155534386,0.0436931894686806,0.03044139793378039,0.6578119667432483,0.5249457475495132,0.6967080751932945
